resort_id,check_in,check_out,resort_name,offering_name,unit_type,unit_name,product_id,original_points,current_points,available_count,savings,discount_percentage,extraction_date,fetch_timestamp
70,2025-12-14,2025-12-20,Club Wyndham Ocean Walk,Ocean Walk,2 BEDROOM,2 Bedroom Deluxe,PI|R000000000005,122000,122000,63,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:36.905719
70,2025-12-14,2025-12-20,Club Wyndham Ocean Walk,Ocean Walk,2 BEDROOM,2 Bedroom Deluxe Lockoff,PI|R000000000005,156000,156000,10,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:36.905719
70,2025-12-14,2025-12-20,Club Wyndham Ocean Walk,Ocean Walk,2 BEDROOM,2 Bedroom Lockoff,PI|R000000000005,141000,141000,24,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:36.905719
70,2025-12-14,2025-12-20,Club Wyndham Ocean Walk,Ocean Walk,3 BEDROOM,3 Bedroom Deluxe,PI|R000000000005,151000,151000,6,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:36.905719
70,2025-12-30,2026-01-02,Club Wyndham Emerald Grande at Destin,Emerald Grande,3 BEDROOM,3 Bedroom Deluxe Pool View,PI|R000000000096,117000,117000,1,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:40.225957
70,2025-12-30,2026-01-02,Club Wyndham Panama City Beach,Panama City Beach,1 BEDROOM,1 Bedroom Deluxe Lower Level,PI|R000000000099,67800,67800,1,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:40.225957
70,2025-12-30,2026-01-02,Club Wyndham Panama City Beach,Panama City Beach,1 BEDROOM,1 Bedroom Deluxe Upper Level,PI|R000000000099,78000,78000,11,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:40.225957
70,2025-12-30,2026-01-02,Club Wyndham Panama City Beach,Panama City Beach,1 BEDROOM,1 Bedroom Upper Level,PI|R000000000099,67800,67800,11,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:40.225957
70,2025-12-30,2026-01-02,Club Wyndham Panama City Beach,Panama City Beach,2 BEDROOM,2 Bedroom Deluxe Upper Level,PI|R000000000099,99000,99000,1,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:40.225957
70,2025-12-30,2026-01-02,Club Wyndham Panama City Beach,Panama City Beach Presidential Reserve,2 BEDROOM,2 Bedroom Presidential (Presidential Reserve),PI|R000000000099,126000,126000,1,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:40.225957
70,2025-12-31,2026-01-08,Club Wyndham Ocean Walk,Ocean Walk,1 BEDROOM,1 Bedroom Suite,PI|R000000000005,93000,93000,5,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:42.261803
70,2025-12-31,2026-01-08,Club Wyndham Ocean Walk,Ocean Walk,2 BEDROOM,2 Bedroom Deluxe,PI|R000000000005,200000,200000,7,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:42.261803
70,2026-01-04,2026-01-08,Club Wyndham Ocean Walk,Ocean Walk,1 BEDROOM,1 Bedroom,PI|R000000000005,48000,48000,9,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:44.395663
70,2026-01-04,2026-01-08,Club Wyndham Ocean Walk,Ocean Walk,1 BEDROOM,1 Bedroom Deluxe,PI|R000000000005,52000,52000,28,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:44.395663
70,2026-01-04,2026-01-08,Club Wyndham Ocean Walk,Ocean Walk,1 BEDROOM,1 Bedroom Suite,PI|R000000000005,36000,36000,39,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:44.395663
70,2026-01-04,2026-01-08,Club Wyndham Ocean Walk,Ocean Walk,2 BEDROOM,2 Bedroom Deluxe,PI|R000000000005,86000,86000,29,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:44.395663
70,2026-01-04,2026-01-08,Club Wyndham Ocean Walk,Ocean Walk,2 BEDROOM,2 Bedroom Deluxe Lockoff,PI|R000000000005,100000,100000,9,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:44.395663
70,2026-01-04,2026-01-08,Club Wyndham Ocean Walk,Ocean Walk,2 BEDROOM,2 Bedroom Lockoff,PI|R000000000005,88000,88000,28,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:44.395663
70,2026-01-04,2026-01-08,Club Wyndham Ocean Walk,Ocean Walk,3 BEDROOM,3 Bedroom Deluxe,PI|R000000000005,112000,112000,23,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:44.395663
70,2026-01-20,2026-02-02,Club Wyndham Ocean Walk,Ocean Walk,1 BEDROOM,1 Bedroom Deluxe,PI|R000000000005,201000,201000,1,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:48.779883
70,2026-01-20,2026-02-02,Club Wyndham Ocean Walk,Ocean Walk,1 BEDROOM,1 Bedroom Suite,PI|R000000000005,149000,149000,26,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:48.779883
70,2026-01-20,2026-02-02,Club Wyndham Ocean Walk,Ocean Walk,2 BEDROOM,2 Bedroom Lockoff,PI|R000000000005,350000,350000,1,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:48.779883
70,2026-01-23,2026-01-25,Club Wyndham Ocean Walk,Ocean Walk,1 BEDROOM,1 Bedroom,PI|R000000000005,42000,42000,8,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:50.858396
70,2026-01-23,2026-01-25,Club Wyndham Ocean Walk,Ocean Walk,1 BEDROOM,1 Bedroom Deluxe,PI|R000000000005,45000,45000,10,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:50.858396
70,2026-01-23,2026-01-25,Club Wyndham Ocean Walk,Ocean Walk,1 BEDROOM,1 Bedroom Suite,PI|R000000000005,37000,37000,26,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:50.858396
70,2026-01-23,2026-01-25,Club Wyndham Ocean Walk,Ocean Walk,2 BEDROOM,2 Bedroom Deluxe Lockoff,PI|R000000000005,87000,87000,1,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:50.858396
70,2026-01-23,2026-01-25,Club Wyndham Ocean Walk,Ocean Walk,2 BEDROOM,2 Bedroom Lockoff,PI|R000000000005,82000,82000,10,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:50.858396
70,2026-02-07,2026-02-10,Club Wyndham Ocean Walk,Ocean Walk,1 BEDROOM,1 Bedroom,PI|R000000000005,46500,46500,4,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:52.827801
70,2026-02-07,2026-02-10,Club Wyndham Ocean Walk,Ocean Walk,1 BEDROOM,1 Bedroom Deluxe,PI|R000000000005,49500,49500,4,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:52.827801
70,2026-02-07,2026-02-10,Club Wyndham Ocean Walk,Ocean Walk,1 BEDROOM,1 Bedroom Suite,PI|R000000000005,37500,37500,32,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:52.827801
70,2026-02-07,2026-02-10,Club Wyndham Ocean Walk,Ocean Walk,2 BEDROOM,2 Bedroom Deluxe,PI|R000000000005,78500,78500,71,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:52.827801
70,2026-02-07,2026-02-10,Club Wyndham Ocean Walk,Ocean Walk,2 BEDROOM,2 Bedroom Deluxe Lockoff,PI|R000000000005,96000,96000,2,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:52.827801
70,2026-02-07,2026-02-10,Club Wyndham Ocean Walk,Ocean Walk,2 BEDROOM,2 Bedroom Lockoff,PI|R000000000005,87000,87000,12,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:52.827801
70,2026-02-07,2026-02-10,Club Wyndham Ocean Walk,Ocean Walk,3 BEDROOM,3 Bedroom Deluxe,PI|R000000000005,101500,101500,18,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:52.827801
70,2026-04-08,2026-04-12,Club Wyndham Bonnet Creek,Bonnet Creek,1 BEDROOM,1 Bedroom Deluxe,PI|R000000000045,79000,79000,76,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:57.761608
70,2026-04-08,2026-04-12,Club Wyndham Bonnet Creek,Bonnet Creek,2 BEDROOM,2 Bedroom Deluxe,PI|R000000000045,101000,101000,313,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:57.761608
70,2026-04-08,2026-04-12,Club Wyndham Bonnet Creek,Bonnet Creek Presidential Reserve,1 BEDROOM,1 Bedroom Presidential (Presidential Reserve),PI|R000000000045,101000,101000,3,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:57.761608
70,2026-04-08,2026-04-12,Club Wyndham Cypress Palms,Cypress Palms,1 BEDROOM,1 Bedroom,PI|R000000000049,73000,73000,35,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:57.761608
70,2026-04-08,2026-04-12,Club Wyndham Cypress Palms,Cypress Palms,1 BEDROOM,1 Bedroom Deluxe,PI|R000000000049,83000,83000,52,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:57.761608
70,2026-04-08,2026-04-12,Club Wyndham Cypress Palms,Cypress Palms,1 BEDROOM,1 Bedroom Suite,PI|R000000000049,63000,63000,13,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:57.761608
70,2026-04-08,2026-04-12,Club Wyndham Cypress Palms,Cypress Palms,2 BEDROOM,2 Bedroom Deluxe,PI|R000000000049,112000,112000,55,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:57.761608
70,2026-04-08,2026-04-12,Club Wyndham Cypress Palms,Cypress Palms,2 BEDROOM,2 Bedroom Deluxe Lockoff,PI|R000000000049,156000,156000,35,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:57.761608
70,2026-04-08,2026-04-12,Club Wyndham Cypress Palms,Cypress Palms,2 BEDROOM,2 Bedroom Lockoff,PI|R000000000049,146000,146000,13,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:57.761608
70,2026-04-08,2026-04-12,Club Wyndham Kingstown Reef,Kingstown Reef Presidential Reserve,1 BEDROOM,1 Bedroom Presidential (Presidential Reserve),PI|R000000000318,208000,208000,1,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:57.761608
70,2026-04-08,2026-04-12,Club Wyndham Kingstown Reef,Kingstown Reef Presidential Reserve,2 BEDROOM,2 Bedroom Presidential (Presidential Reserve),PI|R000000000318,272000,272000,3,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:57.761608
70,2026-04-08,2026-04-12,Club Wyndham Kingstown Reef,Kingstown Reef Presidential Reserve,3 BEDROOM,3 Bedroom Presidential (Presidential Reserve),PI|R000000000318,320000,320000,2,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:57.761608
70,2026-04-08,2026-04-12,Club Wyndham Kingstown Reef,Kingstown Reef Presidential Reserve,4 BEDROOM,4 Bedroom Presidential (Presidential Reserve),PI|R000000000318,384000,384000,1,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:57.761608
70,2026-04-08,2026-04-12,Club Wyndham Reunion,Reunion,3 BEDROOM,3 Bedroom Deluxe,PI|R000000000100,133000,133000,44,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:57.761608
70,2026-04-08,2026-04-12,WorldMark Kingstown Reef,WbW Kingstown Reef,1 BEDROOM,1 Bedroom Deluxe,PI|R000000000214,106000,106000,1,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:57.761608
70,2026-04-08,2026-04-12,WorldMark Kingstown Reef,WbW Kingstown Reef,2 BEDROOM,2 Bedroom Deluxe,PI|R000000000214,127000,127000,6,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:57.761608
70,2026-04-08,2026-04-12,WorldMark Kingstown Reef,WbW Kingstown Reef,2 BEDROOM,2 Bedroom Deluxe - Communication ,PI|R000000000214,127000,127000,3,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:57.761608
70,2026-04-08,2026-04-12,WorldMark Kingstown Reef,WbW Kingstown Reef,2 BEDROOM,2 Bedroom Double Beds,PI|R000000000214,117000,117000,1,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:57.761608
70,2026-04-08,2026-04-12,WorldMark Kingstown Reef,WbW Kingstown Reef,2 BEDROOM,2 Bedroom Twin,PI|R000000000214,117000,117000,5,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:57.761608
